                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                0.85384,                0.58328,                 1.1677,                0.76238,                0.57075,                0.66964,                0.41319,                 1.4433,                 1.4601,                 1.6629,              0.0010347,              0.0010347,              0.0010347
                     81,                0.84402,                0.57565,                 1.1587,                0.70723,                0.57783,                0.64616,                0.39079,                 1.3793,                 1.3021,                 1.6119,              0.0010224,              0.0010224,              0.0010224
                     82,                0.82233,                0.56125,                 1.1434,                0.78189,                0.61557,                0.69066,                0.42412,                 1.4332,                 1.3697,                 1.6885,                0.00101,                0.00101,                0.00101
                     83,                0.83286,                0.55623,                  1.142,                0.69675,                0.58491,                0.65359,                0.39784,                 1.4363,                  1.399,                 1.6849,             0.00099763,             0.00099763,             0.00099763
                     84,                0.83468,                0.56807,                 1.1627,                0.79026,                0.55983,                0.65888,                 0.3944,                 1.4716,                  1.455,                 1.6781,             0.00098525,             0.00098525,             0.00098525
                     85,                0.82389,                0.55957,                 1.1488,                0.77066,                0.60849,                0.69175,                0.43702,                 1.3584,                 1.3917,                 1.5976,             0.00097287,             0.00097287,             0.00097287
                     86,                0.80596,                0.56193,                 1.1386,                0.76086,                0.60613,                0.68593,                0.42529,                   1.38,                 1.3526,                 1.6443,              0.0009605,              0.0009605,              0.0009605
                     87,                0.79832,                0.55519,                 1.1275,                0.72461,                0.57547,                0.66468,                0.40204,                 1.4097,                 1.3965,                 1.6079,             0.00094812,             0.00094812,             0.00094812
                     88,                0.81372,                0.55039,                 1.1436,                0.81085,                0.53066,                0.64956,                 0.4138,                 1.4092,                  1.332,                 1.6364,             0.00093575,             0.00093575,             0.00093575
                     89,                0.80105,                 0.5506,                 1.1347,                0.73973,                0.61792,                0.70191,                0.42491,                 1.4187,                  1.205,                 1.6776,             0.00092338,             0.00092338,             0.00092338
                     90,                0.78357,                 0.5276,                 1.1213,                0.73889,                0.60377,                0.67454,                0.40752,                 1.3942,                 1.2171,                 1.6512,               0.000911,               0.000911,               0.000911
                     91,                0.77455,                0.52624,                 1.1168,                0.79811,                 0.5684,                0.67494,                0.41856,                 1.3407,                 1.2663,                 1.5838,             0.00089863,             0.00089863,             0.00089863
                     92,                0.77309,                 0.5332,                 1.1108,                0.70025,                0.64387,                0.69266,                0.43474,                  1.365,                 1.2711,                 1.6202,             0.00088625,             0.00088625,             0.00088625
                     93,                0.76187,                0.52816,                 1.1156,                0.73289,                0.60849,                0.67991,                0.43346,                 1.3836,                 1.3448,                 1.6239,             0.00087388,             0.00087388,             0.00087388
                     94,                0.77419,                0.53326,                 1.1227,                 0.7171,                0.62773,                0.69453,                0.43079,                 1.3782,                 1.1544,                 1.6248,              0.0008615,              0.0008615,              0.0008615
                     95,                0.77909,                0.51694,                 1.1161,                0.77548,                0.59434,                0.66695,                0.42156,                 1.4104,                 1.3562,                 1.6568,             0.00084912,             0.00084912,             0.00084912
                     96,                0.75865,                0.52015,                 1.1043,                0.72333,                0.59434,                0.67603,                0.42997,                 1.3677,                 1.3401,                 1.6513,             0.00083675,             0.00083675,             0.00083675
                     97,                0.74705,                0.50353,                 1.1009,                0.81917,                0.60377,                0.71835,                0.45263,                 1.3486,                 1.1449,                 1.6139,             0.00082438,             0.00082438,             0.00082438
                     98,                0.72509,                0.50418,                 1.0881,                 0.7082,                0.66274,                  0.705,                0.44098,                 1.3841,                 1.2505,                 1.6597,               0.000812,               0.000812,               0.000812
                     99,                0.75181,                0.51618,                 1.1078,                0.77044,                0.58962,                0.68469,                0.42933,                 1.3983,                 1.3618,                 1.6336,             0.00079963,             0.00079963,             0.00079963
                    100,                0.71145,                0.47614,                 1.0799,                0.76146,                0.55189,                 0.6579,                0.41453,                 1.4425,                 1.4586,                  1.681,             0.00078725,             0.00078725,             0.00078725
                    101,                0.73127,                0.48811,                 1.0926,                0.75822,                0.59198,                0.67287,                0.42751,                 1.4061,                 1.3262,                 1.6747,             0.00077487,             0.00077487,             0.00077487
                    102,                0.72954,                0.49688,                 1.0899,                0.68839,                0.63915,                0.67373,                0.42133,                  1.418,                 1.2811,                 1.6737,              0.0007625,              0.0007625,              0.0007625
                    103,                0.69556,                0.46987,                 1.0693,                0.72367,                 0.5967,                0.68568,                0.42368,                 1.4344,                 1.3471,                 1.6865,             0.00075013,             0.00075013,             0.00075013
                    104,                0.71779,                0.49139,                 1.0847,                0.71919,                0.60613,                0.66981,                0.42754,                  1.403,                 1.4427,                 1.6518,             0.00073775,             0.00073775,             0.00073775
                    105,                0.70588,                0.47303,                 1.0712,                0.69826,                0.62736,                0.69076,                0.43487,                 1.3835,                 1.3522,                 1.6361,             0.00072537,             0.00072537,             0.00072537
                    106,                0.70207,                0.47452,                 1.0768,                0.71753,                 0.5967,                0.67886,                0.42973,                 1.3896,                 1.4219,                 1.6214,               0.000713,               0.000713,               0.000713
                    107,                0.70387,                0.48306,                 1.0811,                0.76133,                0.63208,                0.70985,                0.45025,                 1.3923,                 1.2974,                 1.6528,             0.00070063,             0.00070063,             0.00070063
                    108,                0.70437,                0.46934,                 1.0708,                0.84742,                 0.5684,                0.69479,                0.43758,                  1.355,                 1.2856,                 1.5742,             0.00068825,             0.00068825,             0.00068825
                    109,                0.69297,                0.46653,                 1.0694,                0.78612,                0.53774,                0.65397,                0.42234,                 1.3821,                 1.5154,                 1.6544,             0.00067588,             0.00067588,             0.00067588
                    110,                0.68365,                0.46184,                 1.0696,                0.73451,                0.62028,                0.69008,                0.43194,                 1.4018,                 1.2709,                 1.6689,              0.0006635,              0.0006635,              0.0006635
                    111,                0.67817,                0.46346,                 1.0704,                0.75837,                0.58726,                0.68002,                 0.4248,                 1.3985,                 1.3635,                 1.6735,             0.00065113,             0.00065113,             0.00065113
                    112,                0.66733,                0.45315,                 1.0539,                0.77377,                0.58962,                0.68891,                0.43146,                 1.4468,                 1.4001,                 1.7251,             0.00063875,             0.00063875,             0.00063875
                    113,                0.68819,                0.46529,                 1.0697,                0.72596,                0.61855,                0.68668,                0.42894,                 1.4296,                 1.3593,                 1.6885,             0.00062637,             0.00062637,             0.00062637
                    114,                0.66054,                0.45244,                 1.0549,                0.76829,                0.57075,                0.68633,                0.43105,                 1.4225,                 1.2931,                 1.6908,               0.000614,               0.000614,               0.000614
                    115,                0.65708,                0.44631,                 1.0503,                0.70124,                 0.6034,                  0.674,                0.42641,                 1.4441,                 1.3712,                 1.6846,             0.00060162,             0.00060162,             0.00060162
                    116,                0.66111,                0.44922,                 1.0424,                0.76581,                0.59906,                0.68522,                0.43908,                 1.4154,                 1.4133,                 1.6908,             0.00058925,             0.00058925,             0.00058925
                    117,                0.64633,                0.43336,                 1.0445,                0.73641,                 0.5684,                0.65767,                0.40943,                  1.475,                 1.5235,                 1.7228,             0.00057688,             0.00057688,             0.00057688
                    118,                0.64926,                0.43734,                 1.0395,                0.74169,                0.62302,                0.69907,                0.43391,                 1.4572,                 1.3234,                 1.7468,              0.0005645,              0.0005645,              0.0005645
                    119,                0.64957,                0.43414,                 1.0398,                0.73815,                0.60849,                 0.6961,                0.43738,                 1.4295,                 1.4008,                 1.7087,             0.00055213,             0.00055213,             0.00055213
                    120,                0.64588,                0.44003,                 1.0437,                0.76025,                0.59831,                 0.6802,                0.42885,                 1.4344,                 1.3742,                 1.7358,             0.00053975,             0.00053975,             0.00053975
                    121,                0.64834,                0.44498,                 1.0452,                0.79569,                0.56368,                0.69045,                0.43423,                 1.4198,                 1.3566,                 1.6927,             0.00052737,             0.00052737,             0.00052737
                    122,                 0.6463,                0.44302,                 1.0486,                 0.7561,                0.59222,                0.69999,                0.44572,                 1.3689,                 1.3455,                 1.6399,               0.000515,               0.000515,               0.000515
                    123,                0.62373,                0.42326,                 1.0352,                0.75498,                0.58866,                  0.681,                0.42984,                 1.4091,                 1.3233,                 1.6463,             0.00050263,             0.00050263,             0.00050263
                    124,                0.63701,                0.42946,                 1.0445,                0.72852,                0.58228,                0.67592,                0.42726,                 1.3915,                 1.3701,                 1.6606,             0.00049025,             0.00049025,             0.00049025
                    125,                0.62771,                0.41672,                 1.0403,                0.74372,                0.58177,                0.67737,                0.42509,                 1.4076,                 1.4593,                 1.6631,             0.00047787,             0.00047787,             0.00047787
                    126,                0.60931,                 0.4167,                 1.0153,                0.72996,                0.59292,                0.67935,                0.44447,                 1.3909,                 1.4569,                 1.6674,              0.0004655,              0.0004655,              0.0004655
                    127,                0.62138,                0.41723,                  1.038,                0.73675,                0.58962,                0.68843,                0.44288,                 1.3696,                 1.3254,                 1.6353,             0.00045313,             0.00045313,             0.00045313
                    128,                 0.6076,                0.40925,                 1.0324,                  0.732,                0.59906,                0.69611,                0.43871,                 1.3893,                 1.3529,                 1.6432,             0.00044075,             0.00044075,             0.00044075
                    129,                0.61264,                0.41429,                 1.0363,                0.81167,                0.57938,                0.69073,                0.44894,                 1.3727,                 1.3052,                 1.6559,             0.00042838,             0.00042838,             0.00042838
                    130,                0.60208,                0.41578,                 1.0269,                0.76548,                0.59906,                0.68885,                0.45205,                 1.3348,                 1.4279,                 1.5773,               0.000416,               0.000416,               0.000416
                    131,                0.60227,                0.41482,                 1.0264,                0.80757,                0.54245,                0.67208,                0.43434,                 1.3836,                 1.4035,                 1.6621,             0.00040362,             0.00040362,             0.00040362
                    132,                0.60135,                0.41631,                 1.0213,                0.71893,                0.60613,                 0.6776,                0.43613,                 1.4004,                 1.4642,                 1.6946,             0.00039125,             0.00039125,             0.00039125
                    133,                0.59329,                0.40997,                 1.0129,                 0.7501,                0.60173,                0.68153,                0.43831,                 1.4295,                 1.4927,                 1.7088,             0.00037888,             0.00037888,             0.00037888
                    134,                0.59583,                0.40513,                 1.0133,                 0.7491,                0.58445,                0.68645,                0.44145,                 1.3932,                 1.5867,                 1.6756,              0.0003665,              0.0003665,              0.0003665
                    135,                0.58785,                0.39829,                 1.0157,                0.78192,                0.61085,                0.71325,                0.45939,                  1.378,                 1.3472,                   1.68,             0.00035412,             0.00035412,             0.00035412
                    136,                0.59778,                0.39973,                 1.0222,                0.78717,                0.60142,                0.69566,                0.44825,                  1.395,                 1.3571,                 1.7011,             0.00034175,             0.00034175,             0.00034175
                    137,                0.58193,                0.39304,                  1.009,                0.78133,                0.59198,                0.68618,                 0.4414,                 1.3938,                 1.4216,                 1.6681,             0.00032938,             0.00032938,             0.00032938
                    138,                0.56473,                0.38978,                 1.0048,                0.74922,                0.59893,                0.67339,                0.43668,                 1.4101,                 1.3791,                 1.7355,               0.000317,               0.000317,               0.000317
                    139,                0.55665,                0.38118,                 1.0002,                0.77646,                 0.5967,                0.70408,                0.45491,                 1.3804,                 1.3142,                 1.6728,             0.00030463,             0.00030463,             0.00030463
                    140,                0.56807,                0.38584,                 1.0012,                0.78136,                0.58157,                0.70241,                0.45723,                 1.3745,                 1.4185,                 1.6557,             0.00029225,             0.00029225,             0.00029225
                    141,                0.56188,                0.38245,                 1.0107,                0.79637,                 0.5684,                0.67855,                0.43759,                 1.3863,                 1.3915,                 1.6629,             0.00027988,             0.00027988,             0.00027988
                    142,                0.55465,                0.38409,                0.99798,                0.81007,                 0.5633,                0.67142,                0.43364,                 1.3922,                 1.4962,                  1.683,              0.0002675,              0.0002675,              0.0002675
                    143,                0.54989,                 0.3788,                0.99487,                0.77578,                0.60386,                0.68479,                0.44232,                 1.3835,                 1.4796,                 1.6569,             0.00025513,             0.00025513,             0.00025513
                    144,                0.53793,                0.37146,                0.98847,                0.78225,                0.60377,                0.70221,                0.45009,                 1.3886,                 1.3862,                 1.6591,             0.00024275,             0.00024275,             0.00024275
                    145,                 0.5413,                0.37962,                0.99488,                0.81183,                0.57998,                0.68635,                0.43955,                  1.388,                  1.425,                 1.6568,             0.00023037,             0.00023037,             0.00023037
                    146,                0.54225,                0.37044,                0.98997,                0.79226,                0.60377,                0.69137,                0.44496,                 1.3756,                 1.3347,                 1.6559,               0.000218,               0.000218,               0.000218
                    147,                0.54135,                0.36929,                0.99322,                0.81917,                0.57547,                 0.6964,                0.44867,                 1.3844,                 1.4162,                 1.6488,             0.00020562,             0.00020562,             0.00020562
                    148,                0.51737,                0.35751,                0.97659,                 0.8223,                0.58019,                0.68742,                0.44994,                  1.354,                 1.3519,                 1.6215,             0.00019325,             0.00019325,             0.00019325
                    149,                0.52918,                0.35654,                0.98989,                0.77664,                 0.5967,                0.66947,                0.44154,                  1.361,                 1.4646,                 1.6271,             0.00018088,             0.00018088,             0.00018088
                    150,                0.52779,                0.36786,                0.98718,                0.76508,                0.61448,                0.67685,                0.43932,                 1.3554,                 1.3872,                 1.6175,              0.0001685,              0.0001685,              0.0001685
                    151,                 0.5563,                0.30869,                0.98423,                0.77741,                 0.5566,                0.65465,                0.42096,                 1.4074,                 1.4727,                 1.6704,             0.00015612,             0.00015612,             0.00015612
                    152,                0.52083,                0.27915,                0.94762,                0.75066,                0.58491,                 0.6801,                0.43313,                 1.4158,                 1.4224,                  1.677,             0.00014375,             0.00014375,             0.00014375
                    153,                0.51824,                 0.2771,                0.94507,                0.81146,                0.57547,                0.69055,                0.44035,                 1.4063,                 1.3791,                 1.6472,             0.00013138,             0.00013138,             0.00013138
                    154,                0.48672,                0.26966,                0.94252,                 0.7271,                0.62209,                0.69261,                0.44609,                 1.4377,                 1.3942,                 1.6905,               0.000119,               0.000119,               0.000119
                    155,                0.49198,                0.26954,                0.93173,                0.79942,                0.57311,                0.69941,                 0.4518,                 1.4357,                 1.4144,                 1.6928,             0.00010662,             0.00010662,             0.00010662
                    156,                0.46987,                0.26257,                0.91856,                0.71718,                0.63915,                0.70672,                0.45356,                  1.407,                  1.359,                 1.6731,              9.425e-05,              9.425e-05,              9.425e-05
                    157,                0.46546,                0.25869,                0.92284,                0.77281,                0.59368,                0.70251,                 0.4463,                 1.4039,                 1.4265,                 1.6531,             8.1875e-05,             8.1875e-05,             8.1875e-05
                    158,                0.46809,                0.26198,                 0.9215,                0.76929,                0.60142,                0.70088,                0.44971,                 1.4015,                 1.4601,                 1.6489,               6.95e-05,               6.95e-05,               6.95e-05
                    159,                0.46227,                0.26082,                0.91498,                0.74029,                0.62028,                0.70569,                0.45049,                  1.398,                 1.4178,                 1.6492,             5.7125e-05,             5.7125e-05,             5.7125e-05
                    160,                0.45761,                0.25438,                  0.923,                0.74764,                0.60092,                0.69668,                0.44899,                 1.4039,                 1.3667,                 1.6691,              4.475e-05,              4.475e-05,              4.475e-05
